nodenumber,int-01_acu_33321.dat,int-01_acu_33331.dat,int-01_acu_33341.dat,int-01_acu_33351.dat,int-01_acu_33361.dat,int-01_acu_33371.dat,int-01_acu_33381.dat,int-01_acu_33391.dat,int-01_acu_33401.dat,int-01_acu_33411.dat,int-01_acu_33421.dat,int-01_acu_33431.dat,int-01_acu_33441.dat,int-01_acu_33451.dat,int-01_acu_33461.dat,int-01_acu_33471.dat,int-01_acu_33481.dat,int-01_acu_33491.dat,int-01_acu_33501.dat,int-01_acu_33511.dat,int-01_acu_33521.dat,int-01_acu_33531.dat,int-01_acu_33541.dat,int-01_acu_33551.dat,int-01_acu_33561.dat,int-01_acu_33571.dat,int-01_acu_33581.dat,int-01_acu_33591.dat,int-01_acu_33601.dat,int-01_acu_33611.dat,int-01_acu_33621.dat,int-01_acu_33631.dat,int-01_acu_33641.dat,int-01_acu_33651.dat,int-01_acu_33661.dat,int-01_acu_33671.dat,int-01_acu_33681.dat,int-01_acu_33691.dat,int-01_acu_33701.dat,int-01_acu_33711.dat,int-01_acu_33721.dat,int-01_acu_33731.dat,int-01_acu_33741.dat,int-01_acu_33751.dat,int-01_acu_33761.dat,int-01_acu_33771.dat,int-01_acu_33781.dat,int-01_acu_33791.dat,int-01_acu_33801.dat,int-01_acu_33811.dat
24,(27.189731898224558+0j),(5563.063937079962-7705.229676761303j),(-6981.216487642877+7233.772893447132j),(4506.476639751608+339.5074645885483j),(374.01758115470403+7699.218031290345j),(-7956.885504867818-4039.3951747830783j),(-8965.930732323848+7837.8846571960075j),(-2119.356175930022-1329.3009848552724j),(4006.1493387754545+1996.647257678763j),(-2882.4246372964435+13607.954716898394j),(2924.4939612825447+3739.4188074373833j),(-13789.638398790761+11400.983000598375j),(6969.695637102789+2567.281211332924j),(2174.6911544192694+1381.0639719424785j),(1722.0334081865408+1937.346116083644j),(-4386.546656873309-4378.081662074925j),(4300.118618717261-5840.072109749717j),(490.4445384370832-1862.604880193563j),(-3309.548076611337+2246.934446694293j),(-2413.321033526901-4205.481649238648j),(-12335.638604774045+4037.555163482286j),(3333.824702332171+247.44051885413216j),(-1245.7396548455763-0.5676194437350706j),(-4334.950553859905+1975.1088128913143j),(3250.953056518528+1260.4868361700055j),(292.75030622096716-1226.9891681969953j),(2785.2752474782724-4438.324331885204j),(-134.66511812905685-2209.0492115522015j),(1663.9361084728464-3424.3701420758453j),(2073.273831802354-3533.943063301384j),(543.3981548576178+2142.803388842077j),(-1261.3945647243472-2061.042373192423j),(-2310.2932299625536-1694.0663829936534j),(-878.3636100881024+7397.985862673798j),(1878.2917951039515+253.37005655379266j),(278.0261857495827+757.9038145007918j),(-3936.2667467256188-7806.16537678994j),(1608.2218084106185-3884.052929426343j),(7751.284128530634-2633.804360403662j),(-994.9353053736914-1113.3045533013706j),(3645.8462274306216+334.32333406057467j),(-3854.9331784660376-498.19345540169604j),(6664.295011814468-1387.6299038614657j),(1870.9838357627273+966.7216334450322j),(3800.6350050842407+2546.310417317324j),(1290.0628197792591+1054.452183970595j),(-1462.9418924099323+1655.0218763543533j),(-2507.5245284234365-4082.5038853217156j),(6294.024125257345-1581.2551228635239j),(-6117.5534247837395+3104.107687120782j)
25,(27.073120029235838+0j),(5558.362428893444-7708.613043670055j),(-6981.585477152661+7232.234946198951j),(4509.3199410352045+344.1036230356103j),(358.6438584698312+7703.682228041551j),(-7959.3220465794775-4022.9159345914454j),(-8970.163953975265+7841.779019274567j),(-2115.7661051100345-1326.2759903556794j),(4007.2732756456116+2000.2573576235204j),(-2886.0135182589993+13604.186355025317j),(2929.7565755130718+3741.874427738644j),(-13794.81261313691+11409.353385312546j),(6976.8891554758475+2568.699616758587j),(2164.6670933847545+1385.7152939414682j),(1721.2124867412256+1928.522721662082j),(-4388.37049974698-4381.936005574476j),(4306.121068326791-5834.492318793166j),(496.34542574621287-1863.8551336581506j),(-3312.5839345710115+2242.3509390415047j),(-2404.59721009058-4204.213980345767j),(-12336.172669003303+4045.661688116519j),(3338.038732474846+256.3010788253955j),(-1249.2234561617474+4.246579602891037j),(-4333.883603103569+1983.1950109354402j),(3253.6193273606755+1263.3924951397564j),(302.1264402352722-1223.8588168129365j),(2787.0523720299298-4437.803050245255j),(-131.14853188368758-2214.2217069327617j),(1668.5797336129726-3425.274886066114j),(2076.2411246747597-3537.2919401515674j),(537.6057936544096+2143.2213978618756j),(-1261.5659813435886-2061.5536118456944j),(-2317.4032554023115-1684.214295402372j),(-880.5284144905064+7404.565631635789j),(1882.1535349956453+261.72757818382047j),(277.509703905386+763.5749204325541j),(-3934.1732744719993-7816.6454140874175j),(1604.355158200366-3886.313387934818j),(7768.544676640738-2638.5747315815415j),(-990.0659596671908-1120.398725789942j),(3644.145827689134+335.68472237549065j),(-3852.8692613096027-501.18141285048705j),(6676.106754546897-1391.2603370134893j),(1873.4165671082237+967.2228566672944j),(3802.908526695488+2555.7949859663895j),(1287.421527664894+1057.1389111437356j),(-1459.5823827167549+1662.460226769332j),(-2510.092117180985-4080.595632105166j),(6293.433049496018-1576.4970861248482j),(-6119.310129763733+3101.0359885856683j)
26,(27.34594893761073+0j),(5551.055623748698-7708.651932611519j),(-6979.303690203853+7229.925673950386j),(4513.483909096715+347.55795542553784j),(341.9803715252722+7705.568193254886j),(-7959.7502330521575-4004.8429739517587j),(-8975.832698208096+7843.150863957571j),(-2114.767758335259-1325.2351635452983j),(4006.484936187816+2006.4222561102551j),(-2889.4055766329793+13592.971347560746j),(2934.2413273307393+3746.7835269302923j),(-13797.660426961627+11417.003632782888j),(6980.739946211783+2568.400294815673j),(2153.5358347283664+1393.8648338851121j),(1721.7185118681832+1917.5554908202093j),(-4389.733939286218-4385.126285324326j),(4312.530016792693-5826.530358127324j),(503.8729738945098-1863.874083060394j),(-3313.650241327059+2237.861004478599j),(-2392.768369185755-4203.32056503437j),(-12336.115418748632+4051.5468575459254j),(3338.520542439551+268.2476070204739j),(-1252.7801384301124+9.903743303967822j),(-4331.657375943137+1991.2322462287193j),(3254.7940570622154+1268.3698102189924j),(310.99628238402136-1221.0836055582986j),(2788.6368387102916-4438.266138714756j),(-128.39384637918334-2222.389812556456j),(1673.091120685539-3423.150850499384j),(2079.00070876703-3541.8220222447553j),(534.8607827221331+2143.671928142894j),(-1259.8280425811195-2059.6363731719503j),(-2323.487079256043-1672.1617297249684j),(-880.6157283370117+7410.2010744382305j),(1887.0292771136+269.259713433435j),(274.1990279215749+767.1179382138213j),(-3931.0997708815057-7827.263571903299j),(1600.4586609568241-3887.831395322126j),(7783.843366369122-2642.909245498891j),(-987.0001941430896-1127.0665235303666j),(3641.663578796548+340.89534882454404j),(-3849.723053724393-502.8990644326176j),(6686.562324457507-1398.3277818095885j),(1874.8858289422596+967.2219420662525j),(3807.722463641274+2568.2056579341815j),(1283.9059584696895+1063.3075980826136j),(-1453.4377324254149+1670.203740197893j),(-2511.8470811566312-4076.1317349149504j),(6287.965120427253-1566.2008738553031j),(-6123.588879859042+3100.8254552471644j)
27,(27.289019080345142+0j),(5546.228539256331-7712.806676178932j),(-6977.356928415081+7231.054339757977j),(4519.760600954347+351.73106402449207j),(329.9159018112143+7711.610745789523j),(-7960.750497427525-3989.2271552868783j),(-8978.702188379557+7845.5220225503135j),(-2114.041031692018-1326.2335585318087j),(4007.856819892722+2011.695884862669j),(-2891.427677605506+13591.639848498316j),(2939.1876529055503+3751.912663333145j),(-13807.144001714796+11428.048197969254j),(6986.795503905816+2566.4043182666246j),(2145.8708226529716+1399.207010780885j),(1722.9654925791526+1912.5116795629895j),(-4395.214408213431-4385.85377342283j),(4316.661815339416-5822.7654768394605j),(512.0461065510234-1865.002332549166j),(-3318.816142815929+2235.4634441860217j),(-2383.229807646292-4204.482266872828j),(-12335.201678113388+4058.1165150203833j),(3339.620977042463+278.67170990584424j),(-1255.1769544441693+15.862612501131476j),(-4332.138926542047+2001.279676796918j),(3255.2908160930183+1271.7180723043998j),(317.88228677659447-1218.0125171815241j),(2791.251897879832-4437.4039908886025j),(-126.80848196432554-2227.6334575731216j),(1680.1455962144923-3423.1707897063125j),(2084.960512703485-3545.744310325241j),(536.0149339993109+2146.662093872147j),(-1256.324973761637-2060.1767952799423j),(-2328.656323610426-1663.6738850589236j),(-886.9476752495976+7411.803536242627j),(1891.5759867152076+274.66795840029096j),(268.0493478694175+770.3721032250797j),(-3930.149318958187-7834.006441556234j),(1599.0839188610944-3890.9308254756297j),(7797.775794636384-2649.31367378023j),(-982.9496757903298-1134.5899952844811j),(3641.1674781396746+340.8726125233041j),(-3845.8118438567735-503.4101289032282j),(6697.567488166643-1403.7075127846647j),(1876.2755059519109+965.1151532123286j),(3811.8117072373047+2576.6698490228646j),(1280.4210983832638+1066.9078579370505j),(-1448.857610157927+1673.5772945784865j),(-2514.336602153982-4073.7611781689347j),(6291.090163979903-1559.1405359985301j),(-6128.577623176687+3099.3433950605922j)
28,(27.55241592355027+0j),(5540.03947368364-7716.047190881482j),(-6976.618086251723+7231.479025830269j),(4523.875220384001+356.0522982860907j),(318.1982281132371+7718.092206327321j),(-7962.405941935402-3974.991674584744j),(-8979.69742355344+7846.915994779783j),(-2115.1334620859884-1327.2789437898964j),(4008.2264887737656+2017.414999218026j),(-2896.59580984699+13589.706585044682j),(2942.8890798396496+3757.382448497683j),(-13813.352791976446+11436.141663163202j),(6992.296404826802+2568.385223473916j),(2139.074805866787+1405.8732184769647j),(1723.7323668350311+1909.7463683356218j),(-4401.245285638797-4385.987730458046j),(4317.9475600080095-5818.112263696634j),(519.5540883244215-1864.5418135271784j),(-3322.62191842364+2232.9130135193045j),(-2375.7494542678296-4206.7972095830355j),(-12336.711875667686+4063.351760823739j),(3341.616658492118+287.4887928480041j),(-1254.640962751322+20.826109497157802j),(-4328.471038270665+2010.9530629689361j),(3255.9057725394164+1275.9751677877298j),(325.6186914671771-1215.0141125468126j),(2791.271622921986-4434.691408896924j),(-125.53683093163454-2233.4016574501265j),(1684.371433167471-3423.1502512188144j),(2088.7398431550328-3549.6592610161315j),(534.1023751585689+2148.94314881186j),(-1253.0856583054172-2058.456891634171j),(-2332.545935891015-1653.6046915774168j),(-891.7679416247765+7413.967379776039j),(1894.8299058428556+278.6046134738855j),(262.2217091227472+773.4741050892528j),(-3928.5658252755047-7841.694097340709j),(1594.2702920185984-3893.618730836657j),(7807.637066587787-2653.8443824439387j),(-982.9665020713029-1140.8808893799944j),(3640.386101361391+342.7510018272228j),(-3843.9427073763763-504.5656923132567j),(6704.207464573125-1407.8413352280463j),(1875.9149644361967+963.6413216502035j),(3815.6708672073532+2583.5326157303325j),(1276.607172467187+1070.303738943986j),(-1444.138227740744+1676.8331379819283j),(-2513.818161610468-4070.577706033936j),(6290.161097131033-1554.7047346607j),(-6132.009657173696+3098.5711926736412j)
29,(28.258098996812052+0j),(5534.420960731022-7718.1857022900895j),(-6978.854447168026+7232.758052459729j),(4527.295233672311+357.89521512090755j),(305.28443149354854+7725.6738396675755j),(-7963.568128976957-3959.056801817138j),(-8986.658681575056+7849.790692833867j),(-2118.0225386450375-1325.4453031426256j),(4010.4257048918657+2022.2968539922513j),(-2900.644450549341+13584.889408055784j),(2947.5477370835943+3763.852216365789j),(-13819.381650548446+11446.490030482182j),(6998.2715847311465+2568.542009457571j),(2132.3792512025643+1412.2887539113115j),(1727.117053792154+1901.344163912995j),(-4404.725697696364-4388.28145380711j),(4321.497019738881-5812.712425792476j),(528.1631500590042-1866.048691509172j),(-3323.360131663493+2231.4159700829578j),(-2363.5239516296515-4205.965789469757j),(-12334.766339225389+4070.3600282775815j),(3341.8435935353273+297.5943031501266j),(-1259.2679031829152+27.44308650564013j),(-4327.869387888689+2017.2938169817958j),(3255.027245193021+1278.084219920424j),(335.2546939539421-1213.11391855445j),(2788.820318894062-4436.605418294613j),(-126.3500711739561-2239.507101896547j),(1688.814075849758-3423.765113166428j),(2090.653422505006-3552.431620765107j),(533.0232253417862+2152.2469467468845j),(-1249.9159370970642-2059.3233637834624j),(-2335.2503836052115-1642.6641988459273j),(-896.0400817573327+7418.472605559331j),(1899.7061945914306+280.93794318596844j),(259.50709985573167+778.3056465307798j),(-3928.453612257594-7848.611984725219j),(1586.2972860945488-3897.3762083170477j),(7815.112307741429-2659.2839458348794j),(-984.5428088011092-1145.862846340548j),(3638.221494997006+349.8500497685981j),(-3843.241323208317-505.25683877991383j),(6709.422695810521-1412.4636406358186j),(1877.0617897367065+961.129047935017j),(3823.9782457851634+2591.828390433838j),(1272.2931081415031+1078.4322059459193j),(-1438.134796076696+1684.3848801471909j),(-2513.8179431542962-4069.635150940217j),(6285.717484214409-1548.7755742155027j),(-6137.194478303499+3097.5865368480136j)
30,(28.72547998126352+0j),(5529.89670556141-7719.847562795829j),(-6979.4767804976755+7233.982687161469j),(4529.823107817112+359.875642278019j),(297.7916990333463+7734.927032009089j),(-7964.697969840403-3950.245658531423j),(-8991.749436034219+7852.175831821466j),(-2120.8683677964427-1327.0552716251718j),(4012.5368615908146+2024.810486795641j),(-2904.199661527972+13582.929803028605j),(2950.0639239748098+3771.55515651497j),(-13827.20562347104+11455.816937000392j),(7001.833584040356+2570.6594090319554j),(2128.307771227968+1417.0315038433341j),(1729.2609400437723+1898.0883908366266j),(-4408.9772856201325-4388.300188496165j),(4322.474384628419-5812.807182222948j),(534.5629942824556-1866.477310180207j),(-3325.9925002986033+2232.901783947171j),(-2355.832596089791-4206.989754076782j),(-12332.578819577002+4076.2434996620595j),(3344.4741937238246+304.3587465068468j),(-1261.799649086628+32.69749664594305j),(-4329.255913960124+2021.870186251104j),(3253.598382690912+1279.969468356557j),(342.5477237496348-1211.69840657792j),(2785.4903902317765-4435.543704734337j),(-127.82476665055555-2243.955187705244j),(1691.6427082901598-3424.71662235934j),(2094.0951451493866-3557.1439293172807j),(535.2877988285993+2155.498445790009j),(-1246.3032726869258-2059.731797608572j),(-2337.2322495771064-1634.2375004526828j),(-900.9150682710701+7421.012756210346j),(1903.3521700691888+280.3387647719861j),(255.37017426408545+780.2148575563448j),(-3929.6400650673286-7855.16821968248j),(1579.3326583535795-3901.2279651370436j),(7819.391819635435-2661.6337178253452j),(-985.5089386343502-1148.825629769761j),(3637.123175897886+353.80840953625665j),(-3843.293068391546-504.04960275580834j),(6711.651650704457-1416.7357361493296j),(1874.562292568225+958.3687538793523j),(3829.7960530453943+2596.6183501450205j),(1269.5121678094301+1082.6956907802582j),(-1434.0657340258088+1686.9258867761914j),(-2513.5512407382357-4070.9283479455958j),(6284.670017337934-1542.6598246781252j),(-6141.859009778059+3098.267440403568j)
31,(28.923330916848982+0j),(5527.576194125534-7725.423691232663j),(-6981.5247307376285+7237.023609885229j),(4529.897884950439+361.2963285717399j),(295.66003767874065+7741.800180197665j),(-7966.979411981385-3945.089043578745j),(-8995.947041406846+7855.492364939559j),(-2124.796999948115-1329.5481882326742j),(4015.6529405680276+2029.361193609424j),(-2908.8906305907212+13582.23182850758j),(2953.2001602898613+3776.1971646234174j),(-13832.941839182738+11464.31888684802j),(7006.34223183207+2573.1159382646033j),(2130.5027104556143+1421.2189780387869j),(1734.5546731941358+1898.3775601324005j),(-4413.695679861839-4385.733600180096j),(4321.289502390148-5814.301402160989j),(542.4840556902161-1865.6365656693579j),(-3328.4653165009195+2236.0121361727074j),(-2349.860137245463-4209.787596566621j),(-12332.94139330985+4078.835217952034j),(3346.788878826588+309.99707563556655j),(-1261.2101579046684+36.11752537794068j),(-4329.200988136718+2026.5443652911522j),(3251.5525170361775+1280.5018003265168j),(349.3132401479227-1212.7325962213479j),(2781.80209266744-4432.845795077371j),(-130.86724938046171-2247.154455044933j),(1695.5229881423209-3427.8260483262484j),(2094.846891492968-3560.6387314622057j),(539.843638182512+2162.254506020184j),(-1243.9818584067948-2061.418408600195j),(-2334.2480440789996-1630.055249038803j),(-903.8842829467507+7421.831793650724j),(1907.0195371656282+276.8576681434903j),(252.56233764859024+778.7721208852773j),(-3928.9414561405265-7857.159355821801j),(1571.1772294705256-3902.3459278577793j),(7818.150505560592-2661.1904213029316j),(-988.5134578059467-1150.6533123326135j),(3637.976443973623+359.6688768507953j),(-3843.8401283084636-501.1061408212503j),(6710.805826418227-1418.974236182787j),(1873.536566487496+956.6679163004543j),(3835.7250563333478+2601.269313190132j),(1268.1602418165435+1087.3584277395526j),(-1429.9910455117335+1688.6876077398706j),(-2510.757030152325-4068.713569859532j),(6280.761602539271-1536.7265508380372j),(-6145.091928312811+3100.7417791465796j)
32,(28.33710303694626+0j),(5527.02010690466-7729.76168572211j),(-6983.5432388740355+7240.808010227518j),(4531.516334432568+360.47425162386185j),(296.7717257565572+7748.419865250688j),(-7968.296148872228-3943.07388760515j),(-8999.207461142287+7858.3085470004335j),(-2128.2745467474197-1332.8547956097996j),(4019.459257445401+2030.9375347115456j),(-2913.9098704808257+13582.43265323623j),(2955.029006618836+3780.602676547942j),(-13839.700124099036+11470.886281572053j),(7008.695593415065+2575.0618511518096j),(2130.813914450938+1422.92547779175j),(1739.405752346146+1901.7748785299632j),(-4417.748834191709-4383.934083618505j),(4320.224982066762-5815.877553362387j),(547.8459068859602-1866.2911672194687j),(-3330.6361223683625+2241.2938390780623j),(-2344.527616579434-4211.2115203432195j),(-12333.701903300243+4083.204049035145j),(3348.624109558985+313.0962090829549j),(-1260.7387416717836+36.640289162470935j),(-4332.140517278691+2027.3193299189438j),(3249.309191772505+1279.3784083491366j),(353.1705940572342-1215.1813126955262j),(2778.411928762354-4433.018400824981j),(-135.85720281663254-2248.2631536095123j),(1699.4424741738687-3428.8449820415804j),(2098.020265274714-3560.5643929081825j),(544.3788107975378+2165.8518373721126j),(-1239.5223480706097-2062.693204415391j),(-2330.994886555057-1628.3781638090818j),(-907.3943328226562+7422.803180184751j),(1909.0914071363197+270.81782351507087j),(247.69666068852828+777.786331404395j),(-3930.092330489421-7856.765759590064j),(1568.437429099954-3901.604581090508j),(7814.374625861316-2662.600895392733j),(-991.4057623331944-1150.0376751143556j),(3637.181284255216+363.94986062197785j),(-3843.667777963993-500.05901808428035j),(6708.981675654797-1418.1701796236775j),(1870.677873019556+954.3323456730116j),(3841.8947789291183+2603.735350111933j),(1267.2863692222995+1090.974914722311j),(-1430.5814780376613+1689.1848797676848j),(-2505.491692874015-4070.675741578419j),(6279.486122465719-1529.8769509560248j),(-6149.171331603332+3104.466180033408j)
33,(28.528535976321777+0j),(5529.500142937859-7733.277833125072j),(-6985.702681832762+7242.630872005006j),(4531.33593962146+358.93909776376347j),(300.1763296760643+7756.238396774821j),(-7970.664339708272-3944.693023142177j),(-9003.370509416518+7859.756208606575j),(-2132.506766075544-1333.174982475718j),(4022.3633162327737+2030.5876716580137j),(-2917.3630361005103+13582.481692480935j),(2957.563223478794+3787.388163367711j),(-13847.302747236361+11478.476218406886j),(7011.953432102848+2579.5803920006374j),(2131.5451373729206+1425.8770571223922j),(1742.7453125640716+1903.624818476219j),(-4419.697106796138-4381.526475630011j),(4320.649747759932-5819.676741956526j),(551.9624711270671-1864.5579522713138j),(-3332.3055906779723+2243.260539140092j),(-2339.1072107215423-4213.149514018013j),(-12334.599682409462+4086.20702213431j),(3350.9591693455804+315.9797376981792j),(-1258.8494375659357+37.20462762856482j),(-4335.101210855306+2025.7511834008378j),(3244.3982315133635+1279.4291739649268j),(356.47238986062166-1218.9935729076483j),(2773.6488247395546-4433.07588521091j),(-140.93943451116604-2250.9379477630696j),(1701.1455698832428-3431.1638259232986j),(2097.7248893428027-3561.1093248853244j),(550.6090869730123+2171.2001229338557j),(-1236.2104668765262-2063.2675471995226j),(-2326.5885509393806-1627.0519620933815j),(-910.4251068427508+7425.544602141961j),(1911.0515268586141+263.16637039806136j),(247.9248501392256+777.3618710795349j),(-3932.889358803815-7855.947488145385j),(1563.7217283319828-3903.7764826367884j),(7809.579816964557-2662.126331709199j),(-994.2739482935706-1149.0525905169047j),(3636.7308625477276+373.1785682367841j),(-3843.715744413755-498.6081132314264j),(6703.381570879075-1416.0587803493552j),(1867.6819718575618+954.5624922860421j),(3843.305131581771+2607.6833617472416j),(1266.101066490046+1092.8157420041548j),(-1430.1707497357806+1690.237976428928j),(-2501.934765913311-4074.006818384899j),(6277.467375640479-1527.8225311260455j),(-6152.920058062117+3104.6687953882056j)
34,(28.479456030735562+0j),(5532.492040437362-7737.410382894991j),(-6985.322743220034+7243.359006926743j),(4528.691005055423+354.8587788281407j),(306.1492226341171+7764.543884390188j),(-7973.381815490346-3946.0845826693712j),(-9006.718407304905+7860.1441449277045j),(-2135.959258469072-1336.9287207594143j),(4028.4081654173306+2030.2602810535907j),(-2920.1034655454278+13584.179998142963j),(2960.8304439744875+3793.9973835270557j),(-13855.809815201901+11484.66498335434j),(7014.618189061461+2583.378824916179j),(2138.056436752691+1427.3795349386537j),(1747.4578647628423+1904.9727030406623j),(-4421.1825644607125-4379.658615060255j),(4319.383799135388-5823.506996944415j),(554.4464852879015-1862.7222703216053j),(-3332.767381915152+2248.175244071031j),(-2333.902657554021-4213.592612906441j),(-12332.792376399942+4090.901764677041j),(3356.898194478207+319.30225165963157j),(-1256.6665801807112+35.921374923390985j),(-4342.180014161448+2022.315792969075j),(3239.640600048351+1272.930546287289j),(361.52177159216444-1223.7096054840758j),(2770.267789647829-4431.231848904014j),(-151.52845367092505-2251.5432998993683j),(1701.9608607763903-3436.0914426997433j),(2097.552353367734-3559.102517783744j),(557.2165208622084+2178.757302535855j),(-1236.270827327925-2062.6855583822953j),(-2325.2770166114015-1626.8672835700304j),(-915.842168486655+7428.614840063412j),(1913.0686634408116+256.09872177696025j),(249.56767998261614+778.0221153774006j),(-3932.80503764636-7852.77049419536j),(1556.8293577311097-3904.074531676064j),(7800.901230164672-2662.8910430391315j),(-994.6414935176399-1144.9195234027418j),(3636.5624263868563+380.29531664764136j),(-3845.7482301920904-494.8702160937745j),(6696.746455172683-1418.3678022103168j),(1867.4029484585103+954.1007883333091j),(3845.4006182609546+2610.2786906958277j),(1265.0004036127402+1094.3545589691093j),(-1429.7667093809978+1692.1118781224325j),(-2499.2834319123804-4078.179187866468j),(6272.963154567835-1523.9652641219218j),(-6158.121411564329+3103.121926140885j)
35,(29.319208077402834+0j),(5541.294873772946-7738.970969267191j),(-6987.838377074689+7247.211237630912j),(4526.556982653556+349.78622801180205j),(321.1556179021441+7765.081151379575j),(-7978.188792501882-3957.464827163739j),(-9009.612091701683+7858.837353429426j),(-2139.2095111744297-1340.8382190203115j),(4037.4215439055833+2033.6981075316032j),(-2923.034106663932+13587.045354881107j),(2960.34282280927+3800.108062796705j),(-13863.292369848255+11487.363838297815j),(7015.186623274623+2585.427973383359j),(2145.3673984968596+1424.2826426104102j),(1744.6146405929053+1910.6230244459764j),(-4420.794603252805-4375.925937528682j),(4319.0962259358075-5828.190585120873j),(555.9290420853513-1863.2589054817804j),(-3336.197224027062+2253.264685945679j),(-2332.3628169278213-4214.161889048249j),(-12336.381093128406+4091.3187227293665j),(3361.1685945286827+317.3176898356495j),(-1254.9156948690877+34.93872914209888j),(-4353.696624910883+2016.6819449505176j),(3238.449740343934+1270.671432660471j),(364.79562912548334-1230.392691897504j),(2772.159722612616-4431.634999429324j),(-158.16056859702996-2249.298327766806j),(1703.1319888569806-3439.921045415871j),(2094.0259705702915-3558.537435275231j),(564.4695765322875+2184.2951938023457j),(-1231.7251980977528-2062.0587708847784j),(-2321.0005318111444-1636.1163151802307j),(-919.4687610078942+7431.683280798804j),(1912.181305339339+245.9676655602638j),(244.3998953764385+771.0810021691792j),(-3934.500396595671-7850.7826649227445j),(1556.941266454584-3900.0661257268393j),(7789.15801437904-2657.016781171364j),(-997.2031158443992-1140.6769652640573j),(3637.8796789961643+385.7488655486547j),(-3847.6512885480474-490.95244468808824j),(6690.945181728726-1413.7654124789972j),(1861.0723150450408+954.65062192796j),(3844.540228886295+2613.2733877391593j),(1270.1419844186687+1093.987274956839j),(-1436.2757814556385+1690.6317953435075j),(-2491.9697706453717-4081.8395794990993j),(6273.501826996178-1519.7625953419188j),(-6164.20984058322+3101.458604108782j)
36,(30.488193973927466+0j),(5550.631682603575-7743.974427124696j),(-6993.764884935381+7254.093719847671j),(4529.336828077971+346.93675909475957j),(330.7111769177851+7768.5570043017815j),(-7983.320016104617-3975.006771926041j),(-9020.997206070624+7861.2096776920425j),(-2145.10627720939-1346.6404319010448j),(4040.6344830612816+2035.043368473431j),(-2928.33733839552+13595.640347163639j),(2958.9422298175987+3811.106999573427j),(-13873.293016273085+11492.6620436091j),(7019.02075052544+2591.391902276086j),(2154.9202367564394+1423.3666271156476j),(1744.888466378362+1918.8839329610958j),(-4422.167812334078-4376.28650773924j),(4319.172014282477-5836.812075866263j),(556.1336370683208-1861.4678077152894j),(-3338.1926758861014+2262.6472397954885j),(-2333.8610206512512-4216.067515893271j),(-12347.176655592577+4088.911743054518j),(3361.077443479444+312.60385626568177j),(-1248.3154328711862+30.486660178235866j),(-4360.851815918528+2009.963022070232j),(3237.885827151515+1271.8035792000196j),(360.3929057956784-1235.7619933426117j),(2778.8395393917763-4438.921761928735j),(-159.9733866377599-2249.0182013227627j),(1704.9234522442466-3444.6415714803898j),(2088.3820847857032-3556.9783294148065j),(572.3933483866927+2191.0715127492153j),(-1226.2026039423627-2062.895108152948j),(-2316.9611616545526-1643.6300225597897j),(-921.9618386784139+7437.069634327698j),(1909.648621781925+234.47537724504588j),(238.38318198089786+765.5985170173136j),(-3941.8907222920707-7852.125635827431j),(1563.1442330244038-3897.5440714843j),(7776.6528883704905-2651.4143066507136j),(-1003.880315517911-1135.9420640006385j),(3639.866223262072+384.5890126251811j),(-3849.498212486546-491.1422537076401j),(6690.380377097243-1406.9349512882766j),(1849.7028354886297+958.411208109495j),(3843.3585184471945+2614.657551383047j),(1274.6440272062569+1091.0243772799527j),(-1439.938093602169+1687.5439090449674j),(-2488.7039926682874-4086.7032942794644j),(6275.709105696156-1519.226995352179j),(-6169.696617660872+3107.217612616395j)
